Category ID,Category Name,Control Type,Primary Vector,GPT Compatible,Execution Style Code,Operational Status,Mac Mini Script Name,Monetization Potential (1–10),Stealth Score (1–10),Complexity Score (1–5),Automation Type,Exploit Window Type,Notion Log Link,Expansion Log
D001,Search Intent Chains,Exploit,SEO,Y - Chainable,S-01,Planned,run_001_task.py,10,9,1,Auto,Time-Based,,
D002,Underpriced Keywords,Exploit,API,Y - Promptable,S-03,Planned,run_002_task.py,9,8,2,Semi-Auto,UX Drift,,
D003,Affiliate Cookie Trails,Exploit,UX,Y - Promptable,S-05,Planned,run_003_task.py,8,7,3,Auto,Policy Drift,,
D004,SaaS Feature Combinations,Exploit,Behavior,Y - Chainable,S-04,Planned,run_004_task.py,7,6,4,Semi-Auto,Time-Based,,
D005,Email Verification Flows,Exploit,Prompt,Y - Promptable,S-02,Planned,run_005_task.py,6,9,5,Auto,UX Drift,,
D006,Language Model Prompt Logs,Exploit,Affiliate,Y - Promptable,S-06,Planned,run_006_task.py,10,8,1,Semi-Auto,Policy Drift,,
D007,Paid API Endpoints,Exploit,SEO,Y - Chainable,S-01,Planned,run_007_task.py,9,7,2,Auto,Time-Based,,
D008,TikTok/YouTube Trending Loops,Exploit,API,Y - Promptable,S-03,Planned,run_008_task.py,8,6,3,Semi-Auto,UX Drift,,
D009,Product Comparison Tables,Exploit,UX,Y - Promptable,S-05,Planned,run_009_task.py,7,9,4,Auto,Policy Drift,,
D010,UX Copy & Funnels,Exploit,Behavior,Y - Chainable,S-04,Planned,run_010_task.py,6,8,5,Semi-Auto,Time-Based,,
D011,Cold Email Variants,Exploit,Prompt,Y - Promptable,S-02,Planned,run_011_task.py,10,7,1,Auto,UX Drift,,
D012,Forum Comments + Voting,Exploit,Affiliate,Y - Promptable,S-06,Planned,run_012_task.py,9,6,2,Semi-Auto,Policy Drift,,
D013,Time-Based Price Changes,Exploit,SEO,Y - Chainable,S-01,Planned,run_013_task.py,8,9,3,Auto,Time-Based,,
D014,Review System Manipulation Points,Exploit,API,Y - Promptable,S-03,Planned,run_014_task.py,7,8,4,Semi-Auto,UX Drift,,
D015,Terms-of-Service Change Logs,Exploit,UX,Y - Promptable,S-05,Planned,run_015_task.py,6,7,5,Auto,Policy Drift,,
D016,Domain Expiry Cycles,Exploit,Behavior,Y - Chainable,S-04,Planned,run_016_task.py,10,6,1,Semi-Auto,Time-Based,,
D017,Abandoned SaaS Projects,Exploit,Prompt,Y - Promptable,S-02,Planned,run_017_task.py,9,9,2,Auto,UX Drift,,
D018,Customer Complaint Patterns,Exploit,Affiliate,Y - Promptable,S-06,Planned,run_018_task.py,8,8,3,Semi-Auto,Policy Drift,,
D019,Local Directory Schema Abuse,Exploit,SEO,Y - Chainable,S-01,Planned,run_019_task.py,7,7,4,Auto,Time-Based,,
D020,Marketplace Fee Structures,Exploit,API,Y - Promptable,S-03,Planned,run_020_task.py,6,6,5,Semi-Auto,UX Drift,,
D021,Public Company API Calls,Exploit,UX,Y - Promptable,S-05,Planned,run_021_task.py,10,9,1,Auto,Policy Drift,,
D022,Customer Support AI Prompts,Exploit,Behavior,Y - Chainable,S-04,Planned,run_022_task.py,9,8,2,Semi-Auto,Time-Based,,
D023,Multilingual SERP Gaps,Exploit,Prompt,Y - Promptable,S-02,Planned,run_023_task.py,8,7,3,Auto,UX Drift,,
D024,Template-Based SaaS Builders,Exploit,Affiliate,Y - Promptable,S-06,Planned,run_024_task.py,7,6,4,Semi-Auto,Policy Drift,,
D025,Instagram Reels Remixes,Exploit,SEO,Y - Chainable,S-01,Planned,run_025_task.py,6,9,5,Auto,Time-Based,,
D026,Crypto Airdrop Wallet Trackers,Exploit,API,Y - Promptable,S-03,Planned,run_026_task.py,10,8,1,Semi-Auto,UX Drift,,
D027,GitHub Issue Logs,Exploit,UX,Y - Promptable,S-05,Planned,run_027_task.py,9,7,2,Auto,Policy Drift,,
D028,Upwork Job Posts,Exploit,Behavior,Y - Chainable,S-04,Planned,run_028_task.py,8,6,3,Semi-Auto,Time-Based,,
D029,Chrome Extension Usage Patterns,Exploit,Prompt,Y - Promptable,S-02,Planned,run_029_task.py,7,9,4,Auto,UX Drift,,
D030,Behavioral CAPTCHA Maps,Exploit,Affiliate,Y - Promptable,S-06,Planned,run_030_task.py,6,8,5,Semi-Auto,Policy Drift,,
D031,App Store Review Timing Windows,Manipulate,SEO,Y - Chainable,S-01,Planned,run_031_task.py,10,7,1,Auto,Time-Based,,
D032,Cross-Domain Tracking Leaks,Manipulate,API,Y - Promptable,S-03,Planned,run_032_task.py,9,6,2,Semi-Auto,UX Drift,,
D033,Price Anchoring Discrepancies,Manipulate,UX,Y - Promptable,S-05,Planned,run_033_task.py,8,9,3,Auto,Policy Drift,,
D034,Low-Latency Token Gateways,Manipulate,Behavior,Y - Chainable,S-04,Planned,run_034_task.py,7,8,4,Semi-Auto,Time-Based,,
D035,Webhook Reflection Attacks,Manipulate,Prompt,Y - Promptable,S-02,Planned,run_035_task.py,6,7,5,Auto,UX Drift,,
D036,App Permission Drift,Manipulate,Affiliate,Y - Promptable,S-06,Planned,run_036_task.py,10,6,1,Semi-Auto,Policy Drift,,
D037,NLP Keyword Censorship Holes,Manipulate,SEO,Y - Chainable,S-01,Planned,run_037_task.py,9,9,2,Auto,Time-Based,,
D038,Failed ProductHunt Launches,Manipulate,API,Y - Promptable,S-03,Planned,run_038_task.py,8,8,3,Semi-Auto,UX Drift,,
D039,Social Login Token Lifetimes,Manipulate,UX,Y - Promptable,S-05,Planned,run_039_task.py,7,7,4,Auto,Policy Drift,,
D040,Serverless Function Throttling,Manipulate,Behavior,Y - Chainable,S-04,Planned,run_040_task.py,6,6,5,Semi-Auto,Time-Based,,
D041,Exit-Intent Scripts,Manipulate,Prompt,Y - Promptable,S-02,Planned,run_041_task.py,10,9,1,Auto,UX Drift,,
D042,Web-Based ROI Calculators,Manipulate,Affiliate,Y - Promptable,S-06,Planned,run_042_task.py,9,8,2,Semi-Auto,Policy Drift,,
D043,Pricing Page A/B Variants,Manipulate,SEO,Y - Chainable,S-01,Planned,run_043_task.py,8,7,3,Auto,Time-Based,,
D044,YouTube Auto-Caption Crawlers,Manipulate,API,Y - Promptable,S-03,Planned,run_044_task.py,7,6,4,Semi-Auto,UX Drift,,
D045,Abandoned Event Pages,Manipulate,UX,Y - Promptable,S-05,Planned,run_045_task.py,6,9,5,Auto,Policy Drift,,
D046,Helpdesk Widget Behavior,Manipulate,Behavior,Y - Chainable,S-04,Planned,run_046_task.py,10,8,1,Semi-Auto,Time-Based,,
D047,Loyalty Point Arbitrage,Manipulate,Prompt,Y - Promptable,S-02,Planned,run_047_task.py,9,7,2,Auto,UX Drift,,
D048,Newsletter Referral Leaderboards,Manipulate,Affiliate,Y - Promptable,S-06,Planned,run_048_task.py,8,6,3,Semi-Auto,Policy Drift,,
D049,Chatbot “Contact Support” Failover Logic,Manipulate,SEO,Y - Chainable,S-01,Planned,run_049_task.py,7,9,4,Auto,Time-Based,,
D050,Chrome Extension Traffic Patterns,Manipulate,API,Y - Promptable,S-03,Planned,run_050_task.py,6,8,5,Semi-Auto,UX Drift,,
D051,Newsletter Signup Entry Points,Manipulate,UX,Y - Promptable,S-05,Planned,run_051_task.py,10,7,1,Auto,Policy Drift,,
D052,Content Syndication Metadata,Manipulate,Behavior,Y - Chainable,S-04,Planned,run_052_task.py,9,6,2,Semi-Auto,Time-Based,,
D053,Customer Avatar Survey Results,Manipulate,Prompt,Y - Promptable,S-02,Planned,run_053_task.py,8,9,3,Auto,UX Drift,,
D054,Job Board Webhooks,Manipulate,Affiliate,Y - Promptable,S-06,Planned,run_054_task.py,7,8,4,Semi-Auto,Policy Drift,,
D055,Internal Redirect Links,Manipulate,SEO,Y - Chainable,S-01,Planned,run_055_task.py,6,7,5,Auto,Time-Based,,
D056,WebGL Fingerprint Drift,Manipulate,API,Y - Promptable,S-03,Planned,run_056_task.py,10,6,1,Semi-Auto,UX Drift,,
D057,Spotify Playlist Timing,Manipulate,UX,Y - Promptable,S-05,Planned,run_057_task.py,9,9,2,Auto,Policy Drift,,
D058,Browser Tab Title Changes,Manipulate,Behavior,Y - Chainable,S-04,Planned,run_058_task.py,8,8,3,Semi-Auto,Time-Based,,
D059,Content Gating Logic,Manipulate,Prompt,Y - Promptable,S-02,Planned,run_059_task.py,7,7,4,Auto,UX Drift,,
D060,Dynamic Rendering Edge Cases,Manipulate,Affiliate,Y - Promptable,S-06,Planned,run_060_task.py,6,6,5,Semi-Auto,Policy Drift,,
D061,Multilingual Captcha Variants,Extract,SEO,Y - Chainable,S-01,Planned,run_061_task.py,10,9,1,Auto,Time-Based,,
D062,Click-to-Call Number Tracking,Extract,API,Y - Promptable,S-03,Planned,run_062_task.py,9,8,2,Semi-Auto,UX Drift,,
D063,Live Chat Agent Rotation Patterns,Extract,UX,Y - Promptable,S-05,Planned,run_063_task.py,8,7,3,Auto,Policy Drift,,
D064,Terms Generator Pages,Extract,Behavior,Y - Chainable,S-04,Planned,run_064_task.py,7,6,4,Semi-Auto,Time-Based,,
D065,Pricing Plan PDF Snapshots,Extract,Prompt,Y - Promptable,S-02,Planned,run_065_task.py,6,9,5,Auto,UX Drift,,
D066,Twitter/X Advanced Search Footprints,Extract,Affiliate,Y - Promptable,S-06,Planned,run_066_task.py,10,8,1,Semi-Auto,Policy Drift,,
D067,Public S3 Buckets in PDFs,Extract,SEO,Y - Chainable,S-01,Planned,run_067_task.py,9,7,2,Auto,Time-Based,,
D068,Backlink Monitoring on Expired Pages,Extract,API,Y - Promptable,S-03,Planned,run_068_task.py,8,6,3,Semi-Auto,UX Drift,,
D069,Reddit AMA Question Patterns,Extract,UX,Y - Promptable,S-05,Planned,run_069_task.py,7,9,4,Auto,Policy Drift,,
D070,Indie Hacker MVP Feedback Loops,Extract,Behavior,Y - Chainable,S-04,Planned,run_070_task.py,6,8,5,Semi-Auto,Time-Based,,
D071,Stack Overflow Copy-Paste Snippets,Extract,Prompt,Y - Promptable,S-02,Planned,run_071_task.py,10,7,1,Auto,UX Drift,,
D072,Cancelation Flow Abandonment,Extract,Affiliate,Y - Promptable,S-06,Planned,run_072_task.py,9,6,2,Semi-Auto,Policy Drift,,
D073,Favicon Request Logs,Extract,SEO,Y - Chainable,S-01,Planned,run_073_task.py,8,9,3,Auto,Time-Based,,
D074,SaaS Terms Keyword Drift,Extract,API,Y - Promptable,S-03,Planned,run_074_task.py,7,8,4,Semi-Auto,UX Drift,,
D075,Meta Tag Misconfigurations,Extract,UX,Y - Promptable,S-05,Planned,run_075_task.py,6,7,5,Auto,Policy Drift,,
D076,App Descriptions w/ Jailbreak Flags,Extract,Behavior,Y - Chainable,S-04,Planned,run_076_task.py,10,6,1,Semi-Auto,Time-Based,,
D077,HTML Email Tracking Pixel Sizes,Extract,Prompt,Y - Promptable,S-02,Planned,run_077_task.py,9,9,2,Auto,UX Drift,,
D078,Bubble.io JS Errors,Extract,Affiliate,Y - Promptable,S-06,Planned,run_078_task.py,8,8,3,Semi-Auto,Policy Drift,,
D079,Fake Login Flows in Dev Mode,Extract,SEO,Y - Chainable,S-01,Planned,run_079_task.py,7,7,4,Auto,Time-Based,,
D080,SaaS Blog Content-to-Feature Mapping,Extract,API,Y - Promptable,S-03,Planned,run_080_task.py,6,6,5,Semi-Auto,UX Drift,,
